Date,Temp,Humid,Status
2019-04-02 01:47:29,37.2,36.5, BAD: Temperature is High
2019-04-02 01:50:27,37.6,34.4, BAD: Temperature is High
2019-04-02 02:54:00,35.4,31.5, BAD: Temperature is High
2019-04-02 02:56:12,35.6,30.1, BAD: Temperature is High
2019-04-02 03:07:19,35.1,31.0, BAD: Temperature is High
2019-04-02 03:14:06,34.8,32.0, BAD: Temperature is High
2019-04-02 03:14:21,34.8,31.9, BAD: Temperature is High
2019-04-02 03:14:59,34.7,31.5, BAD: Temperature is High
2019-04-02 03:16:39,34.7,31.5, BAD: Temperature is High
2019-04-02 21:50:40,31.3,36.3, BAD: Temperature is High
2019-04-03 01:03:36,35.9,27.7, BAD: Temperature is High
2019-04-03 01:04:24,36.0,27.5, BAD: Temperature is High
2019-04-03 01:04:56,36.2,26.8, BAD: Temperature is High
2019-04-03 01:05:42,36.0,27.5, BAD: Temperature is High
2019-04-03 12:07:47,36.2,28.1, BAD: Temperature is High
2019-04-03 12:07:56,36.2,29.5, BAD: Temperature is High
2019-04-03 21:03:36,34.5,36.8, BAD: Temperature is High
2019-04-03 21:53:54,34.8,33.5, BAD: Temperature is High
2019-04-03 22:05:11,35.2,32.2, BAD: Temperature is High
2019-04-03 22:05:15,35.2,33.3, BAD: Temperature is High
2019-04-03 22:05:34,35.3,32.5, BAD: Temperature is High
2019-04-03 22:06:04,35.3,33.4, BAD: Temperature is High
2019-04-03 22:07:04,35.4,32.0, BAD: Temperature is High
2019-04-03 22:08:04,35.4,32.7, BAD: Temperature is High
2019-04-03 22:09:03,35.5,33.4, BAD: Temperature is High
2019-04-03 22:10:04,35.4,33.0, BAD: Temperature is High
2019-04-03 22:11:03,35.5,32.9, BAD: Temperature is High
2019-04-03 22:12:04,35.5,32.8, BAD: Temperature is High
2019-04-03 22:13:04,35.6,32.6, BAD: Temperature is High
2019-04-03 22:14:04,35.5,32.5, BAD: Temperature is High
2019-04-03 22:16:11,35.4,33.0, BAD: Temperature is High
2019-04-03 22:17:03,35.5,32.7, BAD: Temperature is High
2019-04-03 22:18:03,35.5,33.1, BAD: Temperature is High
2019-04-03 22:19:03,35.3,32.7, BAD: Temperature is High
2019-04-03 22:20:03,35.3,33.0, BAD: Temperature is High
2019-04-03 22:21:03,35.3,32.8, BAD: Temperature is High
2019-04-03 22:22:03,35.3,32.6, BAD: Temperature is High
2019-04-03 22:23:03,35.3,34.0, BAD: Temperature is High
2019-04-03 22:24:03,35.3,32.7, BAD: Temperature is High
2019-04-03 22:25:03,35.2,32.8, BAD: Temperature is High
2019-04-03 22:26:12,35.3,32.6, BAD: Temperature is High
2019-04-03 22:27:03,35.2,32.3, BAD: Temperature is High
2019-04-03 22:28:03,35.3,34.1, BAD: Temperature is High
2019-04-03 22:29:03,35.3,32.5, BAD: Temperature is High
2019-04-03 22:30:03,35.3,32.9, BAD: Temperature is High
2019-04-03 22:31:05,35.3,32.3, BAD: Temperature is High
2019-04-03 22:32:11,35.3,32.7, BAD: Temperature is High
2019-04-03 22:33:04,35.2,32.9, BAD: Temperature is High
2019-04-03 22:34:04,35.3,32.3, BAD: Temperature is High
2019-04-03 22:35:11,35.3,32.8, BAD: Temperature is High
2019-04-03 22:36:03,35.3,32.2, BAD: Temperature is High
2019-04-03 22:37:03,35.4,32.4, BAD: Temperature is High
2019-04-03 22:38:03,35.3,32.5, BAD: Temperature is High
2019-04-03 22:39:03,35.3,32.4, BAD: Temperature is High
2019-04-03 22:40:03,35.3,32.9, BAD: Temperature is High
2019-04-03 22:41:03,35.2,32.7, BAD: Temperature is High
2019-04-03 22:42:03,35.2,32.4, BAD: Temperature is High
2019-04-03 22:43:03,35.2,30.6, BAD: Temperature is High
2019-04-03 22:44:03,35.2,32.6, BAD: Temperature is High
2019-04-03 22:45:03,35.1,32.6, BAD: Temperature is High
2019-04-03 22:46:03,35.1,32.6, BAD: Temperature is High
2019-04-03 22:47:03,35.1,32.9, BAD: Temperature is High
2019-04-03 22:48:03,35.0,32.8, BAD: Temperature is High
2019-04-03 22:49:04,35.0,32.5, BAD: Temperature is High
2019-04-03 22:50:04,35.0,32.2, BAD: Temperature is High
2019-04-03 22:51:04,35.0,33.4, BAD: Temperature is High
2019-04-03 22:52:04,34.9,32.9, BAD: Temperature is High
2019-04-03 22:54:11,34.9,32.6, BAD: Temperature is High
2019-04-03 22:55:04,35.0,32.5, BAD: Temperature is High
2019-04-03 22:56:04,34.9,32.8, BAD: Temperature is High
2019-04-03 22:57:04,35.2,32.0, BAD: Temperature is High
2019-04-03 22:58:04,35.0,32.2, BAD: Temperature is High
2019-04-03 22:59:04,35.1,31.2, BAD: Temperature is High
2019-04-03 23:00:04,35.0,32.4, BAD: Temperature is High
2019-04-03 23:01:04,35.0,32.1, BAD: Temperature is High
2019-04-03 23:02:04,35.0,30.9, BAD: Temperature is High
2019-04-03 23:03:04,35.0,31.9, BAD: Temperature is High
2019-04-03 23:04:04,34.9,32.4, BAD: Temperature is High
2019-04-03 23:05:04,34.9,32.1, BAD: Temperature is High
2019-04-03 23:06:04,35.0,32.3, BAD: Temperature is High
2019-04-03 23:07:04,34.9,32.4, BAD: Temperature is High
2019-04-03 23:08:04,34.9,32.3, BAD: Temperature is High
2019-04-03 23:09:03,34.8,32.3, BAD: Temperature is High
2019-04-03 23:10:03,34.7,31.4, BAD: Temperature is High
2019-04-03 23:11:03,34.7,31.9, BAD: Temperature is High
2019-04-03 23:12:03,34.6,32.2, BAD: Temperature is High
2019-04-03 23:13:03,34.7,32.3, BAD: Temperature is High
2019-04-03 23:14:03,34.7,32.4, BAD: Temperature is High
2019-04-03 23:15:04,34.6,31.1, BAD: Temperature is High
2019-04-03 23:16:04,34.6,33.9, BAD: Temperature is High
2019-04-03 23:17:04,34.5,32.3, BAD: Temperature is High
2019-04-03 23:18:04,34.5,32.6, BAD: Temperature is High
2019-04-03 23:19:04,34.5,31.9, BAD: Temperature is High
2019-04-03 23:20:04,34.5,32.7, BAD: Temperature is High
2019-04-06 10:14:55,23.1,65.2, BAD: Humidity is High
2019-04-06 10:15:05,23.1,67.3, BAD: Humidity is High
2019-04-06 10:16:03,23.9,67.6, BAD: Humidity is High
2019-04-06 10:17:04,24.8,61.8, BAD: Humidity is High
2019-04-06 10:18:04,25.5,60.9, BAD: Humidity is High
2019-04-06 10:19:04,26.3,59.4, OK:  Readings are Normal
2019-04-06 10:20:04,27.1,57.4, OK:  Readings are Normal
2019-04-06 10:21:04,27.8,56.4, OK:  Readings are Normal
2019-04-06 10:22:04,28.4,54.3, OK:  Readings are Normal
2019-04-06 10:23:02,29.0,53.2, OK:  Readings are Normal
2019-04-06 10:24:04,29.7,51.3, OK:  Readings are Normal
2019-04-06 10:25:04,30.0,49.9, BAD: Temperature is High
2019-04-06 10:26:05,30.4,46.0, BAD: Temperature is High
2019-04-06 10:27:04,30.9,46.5, BAD: Temperature is High
2019-04-06 10:28:04,31.3,46.9, BAD: Temperature is High
2019-04-06 10:29:03,31.4,45.4, BAD: Temperature is High
2019-04-06 10:30:03,31.9,45.1, BAD: Temperature is High
2019-04-06 10:31:03,32.2,45.7, BAD: Temperature is High
2019-04-06 10:32:03,32.5,43.4, BAD: Temperature is High
2019-04-06 10:33:03,32.8,43.1, BAD: Temperature is High
2019-04-06 10:34:04,33.0,42.3, BAD: Temperature is High
2019-04-06 10:35:03,33.4,44.0, BAD: Temperature is High
2019-04-06 10:36:03,33.5,42.0, BAD: Temperature is High
2019-04-06 10:37:04,33.8,40.9, BAD: Temperature is High
2019-04-06 10:38:04,33.9,38.9, BAD: Temperature is High
2019-04-06 10:39:04,34.1,41.2, BAD: Temperature is High
2019-04-06 10:40:05,34.3,36.3, BAD: Temperature is High
2019-04-06 10:41:03,34.4,39.8, BAD: Temperature is High
2019-04-06 10:42:03,34.6,41.4, BAD: Temperature is High
2019-04-06 10:43:04,34.5,38.5, BAD: Temperature is High
2019-04-06 10:44:03,34.9,38.8, BAD: Temperature is High
2019-04-06 10:45:04,35.0,41.3, BAD: Temperature is High
2019-04-06 10:46:04,35.1,38.6, BAD: Temperature is High
2019-04-06 10:47:04,35.2,37.7, BAD: Temperature is High
2019-04-06 10:48:04,35.3,38.4, BAD: Temperature is High
2019-04-06 10:49:04,35.5,36.9, BAD: Temperature is High
2019-04-06 10:50:04,35.6,37.7, BAD: Temperature is High
2019-04-06 10:51:04,35.9,36.3, BAD: Temperature is High
2019-04-06 10:52:03,35.7,39.9, BAD: Temperature is High
2019-04-06 10:53:03,35.8,36.2, BAD: Temperature is High
2019-04-06 10:54:03,35.9,39.1, BAD: Temperature is High
2019-04-06 10:55:03,35.9,33.0, BAD: Temperature is High
2019-04-06 10:56:04,36.1,38.5, BAD: Temperature is High
2019-04-06 10:57:03,36.2,36.4, BAD: Temperature is High
2019-04-06 10:58:04,36.1,35.5, BAD: Temperature is High
2019-04-06 10:59:04,36.3,35.3, BAD: Temperature is High
2019-04-06 11:00:04,36.3,36.5, BAD: Temperature is High
2019-04-06 11:01:04,36.4,35.0, BAD: Temperature is High
2019-04-06 11:02:04,36.5,36.3, BAD: Temperature is High
2019-04-06 11:03:04,36.5,34.7, BAD: Temperature is High
2019-04-06 11:04:03,36.4,35.4, BAD: Temperature is High
2019-04-06 11:05:04,36.6,34.5, BAD: Temperature is High
2019-04-06 11:06:04,36.6,34.7, BAD: Temperature is High
2019-04-06 11:07:04,36.7,34.5, BAD: Temperature is High
2019-04-06 11:08:03,36.7,34.9, BAD: Temperature is High
2019-04-06 11:09:04,36.7,36.6, BAD: Temperature is High
2019-04-06 11:10:04,36.6,33.9, BAD: Temperature is High
2019-04-06 11:11:04,36.9,34.2, BAD: Temperature is High
2019-04-06 11:12:04,36.8,33.4, BAD: Temperature is High
2019-04-06 11:13:04,36.9,34.8, BAD: Temperature is High
2019-04-06 11:14:04,36.9,32.5, BAD: Temperature is High
2019-04-06 11:15:03,36.9,33.3, BAD: Temperature is High
2019-04-06 11:16:03,37.2,35.3, BAD: Temperature is High
2019-04-06 11:17:03,37.0,34.0, BAD: Temperature is High
2019-04-06 11:18:03,37.1,33.1, BAD: Temperature is High
2019-04-06 11:19:03,37.2,34.4, BAD: Temperature is High
2019-04-06 11:20:03,37.3,32.1, BAD: Temperature is High
2019-04-06 11:21:04,37.2,34.2, BAD: Temperature is High
2019-04-06 11:22:04,37.2,31.0, BAD: Temperature is High
2019-04-06 11:23:04,37.2,33.7, BAD: Temperature is High
2019-04-06 11:24:04,37.3,32.8, BAD: Temperature is High
2019-04-06 11:25:04,37.2,33.5, BAD: Temperature is High
2019-04-06 11:26:04,37.2,33.7, BAD: Temperature is High
2019-04-06 11:27:04,37.4,33.7, BAD: Temperature is High
2019-04-06 11:28:03,37.3,34.0, BAD: Temperature is High
2019-04-06 11:29:03,37.4,32.3, BAD: Temperature is High
2019-04-06 11:30:03,37.3,33.7, BAD: Temperature is High
2019-04-06 11:31:03,37.4,32.8, BAD: Temperature is High
2019-04-06 11:32:03,37.5,33.1, BAD: Temperature is High
2019-04-06 11:33:04,37.4,33.6, BAD: Temperature is High
2019-04-06 11:32:04,36.0,32.6, BAD: Temperature is High
2019-04-06 11:37:29,35.6,33.3, BAD: Temperature is High
2019-04-06 11:37:32,35.6,33.0, BAD: Temperature is High
2019-04-06 11:37:35,35.5,36.8, BAD: Temperature is High
2019-04-06 11:37:38,35.6,37.4, BAD: Temperature is High
2019-04-06 11:37:40,35.5,31.4, BAD: Temperature is High
2019-04-06 11:38:53,35.4,36.8, BAD: Temperature is High
2019-04-06 11:39:06,35.4,35.1, BAD: Temperature is High
2019-04-06 11:40:06,35.3,35.2, BAD: Temperature is High
2019-04-06 11:41:05,35.2,35.6, BAD: Temperature is High
2019-04-06 11:42:06,35.1,35.1, BAD: Temperature is High
2019-04-06 11:43:06,35.1,36.9, BAD: Temperature is High
2019-04-06 11:44:05,35.0,36.2, BAD: Temperature is High
2019-04-06 11:45:06,35.1,35.6, BAD: Temperature is High
2019-04-06 11:46:06,35.0,37.4, BAD: Temperature is High
2019-04-06 11:47:06,34.9,36.5, BAD: Temperature is High
2019-04-06 11:48:06,35.0,35.6, BAD: Temperature is High
2019-04-06 11:49:06,35.0,38.3, BAD: Temperature is High
2019-04-06 11:50:06,34.9,38.8, BAD: Temperature is High
2019-04-06 11:51:06,34.9,34.1, BAD: Temperature is High
2019-04-06 11:52:06,34.9,34.6, BAD: Temperature is High
2019-04-06 11:53:06,34.9,35.7, BAD: Temperature is High
2019-04-06 11:54:06,34.9,35.9, BAD: Temperature is High
2019-04-06 11:55:06,34.7,32.9, BAD: Temperature is High
2019-04-06 11:56:06,34.7,35.8, BAD: Temperature is High
2019-04-06 11:57:06,34.7,38.9, BAD: Temperature is High
2019-04-06 11:58:06,34.7,36.1, BAD: Temperature is High
2019-04-06 11:59:06,34.7,37.0, BAD: Temperature is High
2019-04-06 12:00:06,34.7,33.0, BAD: Temperature is High
2019-04-06 12:01:06,34.6,35.9, BAD: Temperature is High
2019-04-06 12:02:05,34.7,37.0, BAD: Temperature is High
2019-04-06 12:03:05,34.6,34.0, BAD: Temperature is High
2019-04-06 12:04:06,34.8,35.8, BAD: Temperature is High
2019-04-06 12:05:07,34.7,36.0, BAD: Temperature is High
2019-04-06 12:06:06,34.7,35.9, BAD: Temperature is High
2019-04-06 12:07:06,34.7,34.7, BAD: Temperature is High
2019-04-06 12:08:06,34.8,34.6, BAD: Temperature is High
2019-04-06 12:09:06,34.7,36.7, BAD: Temperature is High
2019-04-06 12:10:06,34.6,35.8, BAD: Temperature is High
2019-04-06 12:11:06,34.8,32.7, BAD: Temperature is High
2019-04-06 12:12:06,34.6,39.5, BAD: Temperature is High
2019-04-06 12:13:05,34.7,36.0, BAD: Temperature is High
2019-04-06 12:14:06,34.6,36.6, BAD: Temperature is High
2019-04-06 12:15:06,34.6,35.7, BAD: Temperature is High
2019-04-06 12:16:06,34.6,33.9, BAD: Temperature is High
2019-04-06 12:17:05,34.6,36.1, BAD: Temperature is High
2019-04-06 12:18:06,34.6,35.4, BAD: Temperature is High
2019-04-06 12:19:06,34.6,35.5, BAD: Temperature is High
2019-04-06 12:20:05,34.6,35.5, BAD: Temperature is High
2019-04-06 12:21:06,34.4,36.5, BAD: Temperature is High
2019-04-06 12:22:06,34.6,35.3, BAD: Temperature is High
2019-04-06 12:23:06,34.6,38.3, BAD: Temperature is High
2019-04-06 12:24:05,34.5,32.8, BAD: Temperature is High
2019-04-06 12:25:06,34.5,35.6, BAD: Temperature is High
2019-04-06 12:26:06,34.5,35.8, BAD: Temperature is High
2019-04-06 12:27:05,34.6,33.0, BAD: Temperature is High
2019-04-06 12:28:06,34.6,35.6, BAD: Temperature is High
2019-04-06 12:29:06,34.6,35.4, BAD: Temperature is High
2019-04-06 12:30:05,34.5,38.7, BAD: Temperature is High
2019-04-06 12:31:06,34.6,35.9, BAD: Temperature is High
2019-04-06 12:32:06,34.6,35.8, BAD: Temperature is High
2019-04-06 12:33:06,34.5,32.4, BAD: Temperature is High
2019-04-06 12:34:06,34.6,35.4, BAD: Temperature is High
2019-04-06 12:35:06,34.5,38.2, BAD: Temperature is High
2019-04-06 12:36:06,34.6,35.8, BAD: Temperature is High
2019-04-06 12:37:05,34.4,36.1, BAD: Temperature is High
2019-04-06 12:38:06,34.5,34.4, BAD: Temperature is High
2019-04-06 12:39:05,34.6,36.5, BAD: Temperature is High
2019-04-06 12:40:06,34.6,32.6, BAD: Temperature is High
2019-04-06 12:41:05,34.6,32.8, BAD: Temperature is High
2019-04-06 12:42:06,34.6,35.1, BAD: Temperature is High
2019-04-06 12:43:06,34.6,36.7, BAD: Temperature is High
2019-04-06 12:42:08,34.5,33.8, BAD: Temperature is High
2019-04-06 12:45:32,34.5,34.4, BAD: Temperature is High
2019-04-06 12:45:35,34.6,35.5, BAD: Temperature is High
2019-04-06 12:45:38,34.6,35.5, BAD: Temperature is High
2019-04-06 12:46:04,34.5,35.2, BAD: Temperature is High
2019-04-06 12:47:04,34.6,33.0, BAD: Temperature is High
2019-04-06 12:48:03,34.6,36.9, BAD: Temperature is High
2019-04-06 12:49:03,34.6,34.3, BAD: Temperature is High
